[26-Feb-2017 17:39:38 Asia/Tokyo] PHP Fatal error:  Class 'App\Http\Controllers\Micropost' not found in /home/ubuntu/workspace/kadai-microposts/app/Http/Controllers/MicropostsController.php on line 93
[26-Feb-2017 17:39:38 Asia/Tokyo] PHP Stack trace:
[26-Feb-2017 17:39:38 Asia/Tokyo] PHP   1. {main}() /home/ubuntu/workspace/kadai-microposts/server.php:0
[26-Feb-2017 17:39:38 Asia/Tokyo] PHP   2. require_once() /home/ubuntu/workspace/kadai-microposts/server.php:21
[26-Feb-2017 17:39:38 Asia/Tokyo] PHP   3. Illuminate\Foundation\Http\Kernel->handle() /home/ubuntu/workspace/kadai-microposts/public/index.php:54
[26-Feb-2017 17:39:38 Asia/Tokyo] PHP   4. Illuminate\Foundation\Http\Kernel->sendRequestThroughRouter() /home/ubuntu/workspace/kadai-microposts/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:87
[26-Feb-2017 17:39:38 Asia/Tokyo] PHP   5. Illuminate\Pipeline\Pipeline->then() /home/ubuntu/workspace/kadai-microposts/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:122
[26-Feb-2017 17:39:38 Asia/Tokyo] PHP   6. call_user_func:{/home/ubuntu/workspace/kadai-microposts/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103}() /home/ubuntu/workspace/kadai-microposts/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103
[26-Feb-2017 17:39:38 Asia/Tokyo] PHP   7. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/kadai-microposts/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103
[26-Feb-2017 17:39:38 Asia/Tokyo] PHP   8. call_user_func_array:{/home/ubuntu/workspace/kadai-microposts/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124}() /home/ubuntu/workspace/kadai-microposts/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[26-Feb-2017 17:39:38 Asia/Tokyo] PHP   9. Illuminate\Foundation\Http\Middleware\CheckForMaintenanceMode->handle() /home/ubuntu/workspace/kadai-microposts/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[26-Feb-2017 17:39:38 Asia/Tokyo] PHP  10. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/kadai-microposts/vendor/laravel/framework/src/Illuminate/Foundation/Http/Middleware/CheckForMaintenanceMode.php:44
